Transaction_ID,Customer_ID,Amount,Transaction_Type,Location,Device,Hour,Merchant_Category,International,Fraud
T422,C039,192202,UPI,Delhi,ATM,4,Fuel,1,1
T423,C186,193871,Card,Bengaluru,ATM,1,Food,0,1
T424,C033,22552,Card,Pune,Mobile,19,Fuel,0,0
T425,C164,39189,UPI,Mumbai,Mobile,11,Travel,0,0
T426,C416,43373,NEFT,Delhi,ATM,2,Electronics,0,1
T427,C378,147425,IMPS,Bengaluru,ATM,10,Electronics,1,1
T428,C408,86287,Card,Pune,Mobile,18,Electronics,1,0
T429,C038,50093,Card,Bengaluru,Mobile,6,Fuel,0,0
T430,C496,49515,Card,Bengaluru,ATM,20,Food,1,0
T431,C009,195196,Card,Pune,Web,0,Electronics,0,1
T432,C474,42444,UPI,Bengaluru,ATM,2,Food,0,1
T433,C491,168986,UPI,Delhi,ATM,7,Food,1,1
T434,C384,109222,UPI,Bengaluru,Web,10,Travel,0,0
T435,C148,142969,IMPS,Pune,Mobile,17,Fuel,1,1
T436,C303,9713,Card,Mumbai,Web,8,Retail,1,0
T437,C016,190015,UPI,Pune,Web,16,Electronics,1,1
T438,C046,89267,NEFT,Pune,Mobile,12,Travel,0,0
T439,C153,57917,NEFT,Bengaluru,Web,22,Electronics,1,0
T440,C265,100945,Card,Pune,Mobile,7,Travel,1,1
T441,C256,82488,IMPS,Bengaluru,ATM,10,Travel,1,0
T442,C343,64590,NEFT,Delhi,Mobile,4,Travel,0,0
T443,C199,100276,NEFT,Bengaluru,Mobile,2,Retail,1,1
T444,C080,83313,UPI,Bengaluru,Mobile,9,Electronics,1,0
T445,C273,176530,IMPS,Bengaluru,Web,11,Travel,1,1
T446,C401,9797,UPI,Pune,Mobile,13,Food,1,0
T447,C338,144854,IMPS,Mumbai,Web,2,Fuel,0,1
T448,C278,181730,NEFT,Bengaluru,Web,10,Retail,0,0
T449,C028,88735,Card,Mumbai,Mobile,13,Fuel,0,0
T450,C315,140977,UPI,Mumbai,ATM,17,Fuel,0,0
T451,C039,29080,IMPS,Pune,Web,10,Food,0,0
T452,C101,75971,UPI,Pune,Web,13,Fuel,1,0
T453,C017,70840,IMPS,Mumbai,ATM,12,Electronics,0,0
T454,C191,88526,UPI,Pune,ATM,15,Travel,0,0
T455,C201,21931,Card,Delhi,ATM,10,Food,1,0
T456,C379,47513,IMPS,Delhi,Web,2,Fuel,1,1
T457,C043,148412,Card,Mumbai,Mobile,2,Electronics,0,1
T458,C339,100789,UPI,Mumbai,Web,23,Travel,0,0
T459,C415,163328,UPI,Mumbai,Web,15,Retail,1,1
T460,C153,158287,Card,Mumbai,Mobile,7,Travel,0,0
T461,C250,171613,IMPS,Bengaluru,ATM,13,Food,0,0
T462,C248,152279,UPI,Pune,Mobile,17,Retail,0,0
T463,C322,76365,NEFT,Bengaluru,Mobile,21,Fuel,1,0
T464,C093,198411,IMPS,Delhi,Mobile,10,Fuel,1,1
T465,C152,122123,Card,Bengaluru,Web,9,Food,0,0
T466,C215,193002,UPI,Delhi,Web,16,Travel,1,1
T467,C471,169684,IMPS,Bengaluru,Mobile,22,Retail,1,1
T468,C211,172131,NEFT,Mumbai,Web,18,Food,1,1
T469,C311,49808,NEFT,Pune,Mobile,6,Fuel,0,0
T470,C056,48446,IMPS,Bengaluru,ATM,14,Retail,0,0
T471,C218,105301,UPI,Pune,Web,23,Retail,1,1
T472,C027,119366,IMPS,Delhi,ATM,8,Fuel,0,0
T473,C014,187928,NEFT,Mumbai,Mobile,2,Fuel,0,1
T474,C352,86033,Card,Mumbai,ATM,9,Food,1,0
T475,C299,129729,UPI,Mumbai,Web,3,Retail,1,1
T476,C004,58379,NEFT,Delhi,Web,7,Travel,1,0
T477,C329,36898,UPI,Bengaluru,Mobile,17,Fuel,1,0
T478,C454,153645,NEFT,Delhi,ATM,2,Food,0,1
T479,C274,69122,NEFT,Bengaluru,ATM,18,Fuel,0,0
T480,C193,48583,UPI,Delhi,Web,21,Travel,0,0
T481,C058,80588,UPI,Mumbai,Web,3,Retail,0,1
T482,C429,160838,Card,Bengaluru,Mobile,13,Retail,0,0
T483,C309,28063,Card,Delhi,Web,12,Fuel,0,0
T484,C284,9729,UPI,Bengaluru,Web,2,Fuel,0,1
T485,C239,181155,Card,Pune,Mobile,17,Food,1,1
T486,C044,121179,UPI,Mumbai,ATM,9,Travel,1,1
T487,C255,166152,UPI,Mumbai,Web,15,Fuel,1,1
T488,C436,62716,UPI,Delhi,Mobile,21,Fuel,0,0
T489,C201,55029,UPI,Pune,ATM,5,Travel,1,0
T490,C124,94265,Card,Mumbai,ATM,9,Electronics,0,0
T491,C420,120163,NEFT,Delhi,ATM,6,Food,1,1
T492,C382,73588,IMPS,Bengaluru,ATM,16,Travel,1,0
T493,C029,171343,IMPS,Mumbai,Mobile,22,Food,0,0
T494,C254,37805,IMPS,Bengaluru,Web,8,Electronics,1,0
T495,C169,146702,Card,Delhi,ATM,6,Food,0,0
T496,C344,172971,Card,Delhi,Mobile,11,Food,0,0
T497,C088,2824,IMPS,Mumbai,Mobile,8,Travel,1,0
T498,C116,153531,NEFT,Mumbai,Mobile,7,Fuel,0,0
T499,C279,149176,IMPS,Mumbai,Mobile,20,Food,0,0
T500,C381,115248,NEFT,Delhi,ATM,11,Electronics,0,0
