Customer_ID,Age,Gender,Annual_Income,Employment_Years,Monthly_Income,Existing_Loan,EMI,Credit_Card_Utilization,Missed_Payments,Savings,Loan_History,Credit_Score
C390,27,Male,1764165,0,147013,7173,30049,78,2,443476,Good,647
C391,27,Male,1556105,0,129675,362105,4449,38,6,1351546,Good,598
C392,37,Female,1563566,18,130297,1169240,20622,15,2,269685,Poor,608
C393,40,Female,624071,26,52005,939699,3039,63,7,1357335,Good,637
C394,36,Female,609470,9,50789,7021,20205,74,0,556994,Excellent,745
C395,42,Male,1380332,6,115027,1170458,31767,28,7,1033931,Good,593
C396,29,Female,631878,0,52656,978820,32493,54,7,1492381,Average,537
C397,27,Male,1480582,22,123381,68863,38887,18,5,1135122,Excellent,701
C398,50,Male,967562,8,80630,137462,5447,54,5,1396334,Good,637
C399,53,Female,370963,35,30913,683003,11387,79,4,536927,Good,677
C400,54,Female,868057,13,72338,720767,45096,5,6,1469998,Excellent,662
C401,43,Female,1030028,31,85835,2046,34685,71,3,943918,Good,700
C402,52,Male,1271739,1,105978,887348,19663,62,7,1042977,Average,542
C403,59,Female,1004324,31,83693,1077894,16947,38,3,1347061,Excellent,739
C404,50,Male,956717,3,79726,217018,32366,87,4,442872,Average,584
C405,47,Male,287336,34,23944,168328,35551,79,4,233895,Excellent,696
C406,39,Male,967614,4,80634,323239,16482,70,2,369086,Excellent,692
C407,24,Male,1135050,4,94587,690633,38916,83,8,492451,Good,550
C408,52,Male,647189,3,53932,827300,1106,79,6,1107654,Good,602
C409,22,Female,1654039,35,137836,189606,27538,62,5,136483,Excellent,680
C410,57,Male,1054842,26,87903,85407,33322,64,0,243757,Poor,640
C411,25,Male,755188,32,62932,1031511,33384,34,6,1005048,Poor,552
C412,29,Female,554301,34,46191,706741,43253,34,8,1050668,Good,614
C413,55,Male,1508704,11,125725,256858,28384,70,6,762011,Poor,517
C414,57,Female,779152,7,64929,40515,8046,15,8,495693,Excellent,604
C415,26,Female,779303,1,64941,1035278,39708,86,8,1423475,Excellent,582
C416,23,Female,542899,29,45241,341010,35476,75,8,467804,Good,599
C417,23,Female,983218,18,81934,1045129,2041,32,2,1036572,Poor,624
C418,56,Male,824171,20,68680,890759,1637,78,0,937656,Good,759
C419,29,Female,1125630,7,93802,449328,12931,18,0,362873,Poor,614
C420,39,Female,1123629,19,93635,204069,7167,36,1,797388,Poor,639
C421,44,Male,640558,33,53379,946557,20979,31,5,1191187,Good,673
C422,54,Male,1507497,1,125624,1012048,38418,95,1,886792,Good,674
C423,58,Male,1447246,9,120603,515366,491,18,7,535775,Good,599
C424,26,Female,455944,35,37995,1168499,41524,80,6,297585,Good,629
C425,25,Female,575134,34,47927,166666,42558,80,5,426109,Poor,550
C426,54,Male,449318,34,37443,873588,11323,46,6,719871,Excellent,679
C427,30,Female,1739762,35,144980,1092406,42785,40,3,1436631,Excellent,733
C428,59,Female,1596505,1,133042,1149053,8714,83,0,1308364,Good,702
C429,54,Female,725190,35,60432,273575,3938,94,5,743898,Excellent,693
C430,37,Male,315781,31,26315,528969,8103,25,4,1073363,Average,659
C431,22,Female,1718889,1,143240,1001732,3412,85,7,789527,Average,537
C432,48,Female,561288,22,46774,1153820,29503,5,6,785532,Good,652
C433,51,Female,766055,1,63837,342246,11554,64,6,555867,Average,551
C434,23,Male,619171,5,51597,514765,8293,52,4,897523,Good,643
C435,24,Female,395660,35,32971,55570,44706,78,7,772063,Poor,522
C436,30,Male,1409102,14,117425,619075,40676,41,7,499019,Average,567
C437,30,Female,691646,13,57637,331443,47654,95,0,873751,Good,726
C438,29,Male,1646167,23,137180,1176046,40376,68,2,641400,Excellent,740
C439,40,Male,600789,15,50065,624983,16162,5,8,1222019,Average,573
C440,41,Female,748981,18,62415,645427,25778,23,6,795504,Average,609
C441,26,Male,400650,28,33387,585273,12913,15,2,1216192,Good,731
C442,30,Female,1505091,17,125424,329266,47106,60,1,297397,Excellent,742
C443,38,Female,932302,20,77691,86745,43797,80,6,781137,Good,639
C444,55,Male,1170344,6,97528,718340,38561,19,6,458326,Average,565
C445,21,Female,1605977,31,133831,18243,33291,20,4,990454,Excellent,719
C446,32,Male,596819,28,49734,186060,11133,38,5,634643,Good,666
C447,42,Male,937896,14,78158,498086,13965,42,3,48200,Excellent,701
C448,47,Male,907545,12,75628,189096,46875,82,0,1423175,Good,727
C449,27,Female,338477,10,28206,895086,41660,14,2,243158,Average,644
C450,55,Male,473875,21,39489,814819,23060,61,8,634366,Excellent,637
C451,38,Female,1207852,21,100654,695796,14446,15,0,110781,Good,749
C452,48,Female,1158282,33,96523,312488,1649,80,0,505196,Good,750
C453,26,Male,465811,5,38817,649161,7319,42,7,352947,Good,580
C454,49,Female,1751392,10,145949,200255,25409,43,1,595976,Poor,603
C455,48,Female,1506947,22,125578,994652,43074,53,8,1479002,Excellent,642
C456,29,Female,324014,22,27001,679169,34796,21,7,301525,Good,622
C457,23,Female,292607,29,24383,384073,38092,86,4,897769,Good,678
C458,35,Female,297992,22,24832,345723,48708,47,7,1229302,Excellent,660
C459,30,Male,1777882,33,148156,866863,25289,56,0,288908,Poor,643
C460,51,Female,1599603,13,133300,1176058,24492,90,7,240369,Good,592
C461,55,Female,323881,16,26990,572245,18676,26,1,1352805,Good,734
C462,50,Female,719518,9,59959,738521,26298,47,2,1012554,Average,656
C463,25,Male,472689,33,39390,469783,23299,91,0,593088,Good,746
C464,52,Male,965186,19,80432,224355,32677,16,6,890756,Average,613
C465,58,Female,1749825,9,145818,704317,4812,92,0,1126983,Good,726
C466,30,Female,1376845,16,114737,466713,40894,88,4,1149572,Excellent,697
C467,54,Male,1475576,33,122964,814827,4478,19,8,384620,Poor,511
C468,41,Male,1025744,6,85478,497375,31798,90,5,953135,Good,620
C469,25,Male,1367137,12,113928,505196,4539,63,2,1435839,Poor,603
C470,26,Male,341628,24,28469,142787,33488,16,8,591088,Excellent,639
C471,44,Female,1484696,21,123724,31627,23769,69,0,295346,Good,743
C472,56,Male,838293,9,69857,506287,4288,55,3,1377753,Excellent,707
C473,30,Female,515181,26,42931,783982,9521,31,5,626188,Excellent,698
C474,39,Male,1720251,9,143354,1177922,29036,18,0,360871,Good,717
C475,22,Male,1178685,15,98223,208412,16399,8,0,1212385,Poor,651
C476,35,Female,1456135,2,121344,647220,47256,12,5,563968,Good,607
C477,39,Male,1730577,30,144214,792206,17821,75,3,934283,Good,702
C478,24,Female,607021,2,50585,995277,44506,41,5,1248410,Good,613
C479,48,Female,1437798,26,119816,625861,12616,17,2,773762,Poor,625
C480,40,Male,1756315,27,146359,168242,12732,8,4,609697,Good,687
C481,28,Male,938161,8,78180,689987,46397,81,7,179146,Poor,472
C482,43,Male,330644,30,27553,105255,24815,56,3,155154,Poor,588
C483,36,Male,1107218,23,92268,776930,21906,85,4,1249958,Good,684
C484,56,Female,571986,29,47665,514787,45877,45,6,188115,Excellent,661
C485,41,Female,1418996,26,118249,993283,32335,94,1,534673,Average,690
C486,58,Male,530360,26,44196,16367,36024,51,0,681138,Good,750
C487,52,Male,1791252,15,149271,1072017,10204,57,6,828553,Good,634
C488,31,Male,1179081,4,98256,283390,38532,82,1,267251,Excellent,702
C489,31,Female,1237034,1,103086,305901,6856,74,2,466181,Average,621
C490,27,Male,1250864,3,104238,1060789,47925,23,7,1060854,Average,547
C491,45,Male,319972,18,26664,924628,41041,34,1,379058,Average,686
C492,37,Male,1665850,9,138820,10582,30808,43,7,372958,Average,552
C493,44,Male,1015198,10,84599,792815,35611,44,2,1452873,Excellent,722
C494,23,Male,1240104,6,103342,614756,24749,80,2,834906,Good,674
C495,42,Female,356216,27,29684,134374,39475,92,0,537865,Average,707
C496,22,Male,763406,16,63617,1020490,6232,23,6,402205,Excellent,665
C497,47,Male,426649,20,35554,948156,36064,20,0,559667,Poor,652
C498,47,Female,859922,13,71660,892459,30709,68,2,629309,Poor,591
C499,47,Female,1161625,23,96802,1140054,25359,30,2,858607,Excellent,753
C500,22,Male,1119752,32,93312,407710,48250,94,0,677439,Good,743
